MOF,O2,N2,CO2,CH4,H2,He
TUYFIE_clean,3309354.709229536,2248984.089329179,,688953.310379006,,19014654.885556173
TUYJAZ_clean,1374950.113207735,835804.0997172198,496038.27809207817,383200.28073163464,,13006209.191820113
TUYLIJ_clean,2290530.9908979773,1411278.383891393,1490401.181217169,307055.01402032643,,20716466.99202259
UBACOR_clean,988462.7608196135,581584.6407923555,575657.2869553756,101200.25420897633,,7786423.63432534
UBACUX_clean,961507.6283758266,532478.972385668,493828.84839318,103211.00239745236,,4163978.827935972
UBAVUR01_clean,375720.7315173955,232103.3637440198,215458.85953252457,22771.986118772264,2142113.667350709,1949441.1421484428
UBAVUR02_clean,345593.9494752686,209158.87717402386,227035.4112496079,24366.83637300186,2551056.0514392853,2321236.3120483346
UBAVUR_clean,336194.070826488,202228.72484272093,191976.45112053183,23639.917583863968,2296933.6908227713,2047028.0531793572
UBIBUF_clean,8386648.929505534,8784788.538834665,2965200.652372393,4877176.76496341,,56453026.76211447
UBIPAY_clean,1033683.7615403675,733582.4971405551,665351.8882314704,130276.46547896502,,6197986.262733295
UBULUA_clean,3768871.452559545,3669145.3172669574,2391024.033494882,1906436.8256342774,,28545680.56833198
UBUMAH_clean,13125817.803083178,10050945.503799109,6837865.026044871,5738949.968890246,,58754948.84610993
UBUROY_clean,3474219.543505643,3330367.8305037096,1981924.7729135696,,,23783942.634087946
UCABAE_clean,360275.9457645105,245912.8576262696,267472.97127589304,96146.60389472406,,1280151.4596899005
UCAJUF_clean,3346300.389136253,3910282.581982083,1139089.9506835053,1969067.1903573526,28280147.731164757,27820685.7265762
UCAXEC_clean,3116503.4041093346,2399477.105974103,1914681.692663492,464144.0953260333,,20725879.931605056
UCOCUM_neutral,4540253.0327593265,4182276.2744162893,2872291.5330830347,2332531.930350784,,32610067.521277092
UCOHUR_clean,2950449.017976621,2976960.964717943,1667863.726643643,1549358.5889095967,,26453411.69781255
UCOJAZ_clean,3613445.8563939636,3567731.5123988623,2324758.9565474293,1849767.3301768606,,28029980.50607914
UCOJED_clean,3582510.7765608206,3339219.1511822105,2185370.781683218,1752818.729740121,,26944052.85576151
UCOJIH_clean,3936135.195608589,3594369.142446653,2466002.4397639255,1962581.4100565673,,31179919.28234583
